Client Username,Client IP Address,Client MAC Address,Association Time,Vendor,AP Name,Radio Type,Device Name,Map Location,SSID,Profile,VLAN ID,Protocol,Session Duration,Policy Type,Avg. Session Throughput(Kbps)
e6eb3d142f3c1aebab65dd24d09bd6,10.250.218.60,d4eda786a792ae37c5062feb832745,Fri Feb 23 17:44:40 PST 2018,Intel Corporate,WSH-326-1815,802.11a/n/ac,SJS-0CC-112-354-WLC,Campus Housing > WSH > Floor 3,SJSU_premier,SJSU_premier,120,802.11ac,31 min 37 sec,WPA2,4.1
e6eb3d142f3c1aebab65dd24d09bd6,10.250.218.60,d4eda786a792ae37c5062feb832745,Fri Feb 23 18:58:10 PST 2018,Intel Corporate,WSH-328-1815,802.11b/g/n,SJS-0CC-112-354-WLC,Campus Housing > WSH > Floor 3,SJSU_premier,SJSU_premier,120,802.11n(2.4GHz),5 min 9 sec,WPA2,12.1
e6eb3d142f3c1aebab65dd24d09bd6,10.250.218.60,d4eda786a792ae37c5062feb832745,Fri Feb 23 18:16:17 PST 2018,Intel Corporate,WSH-328-1815,802.11a/n/ac,SJS-0CC-112-354-WLC,Campus Housing > WSH > Floor 3,SJSU_premier,SJSU_premier,120,802.11ac,26 min 21 sec,WPA2,37.0
e6eb3d142f3c1aebab65dd24d09bd6,10.250.218.60,d4eda786a792ae37c5062feb832745,Fri Feb 23 18:42:38 PST 2018,Intel Corporate,WSH-328-1815,802.11b/g/n,SJS-0CC-112-354-WLC,Campus Housing > WSH > Floor 3,SJSU_premier,SJSU_premier,120,802.11n(2.4GHz),5 min 13 sec,WPA2,9.8
e6eb3d142f3c1aebab65dd24d09bd6,10.250.218.60,d4eda786a792ae37c5062feb832745,Fri Feb 23 18:47:52 PST 2018,Intel Corporate,WSH-330-1815,802.11b/g/n,SJS-0CC-112-354-WLC,Campus Housing > WSH > Floor 3,SJSU_premier,SJSU_premier,120,802.11n(2.4GHz),10 min 17 sec,WPA2,23.8
e6eb3d142f3c1aebab65dd24d09bd6,10.250.218.60,d4eda786a792ae37c5062feb832745,Fri Feb 23 19:03:19 PST 2018,Intel Corporate,WSH-326-1815,802.11a/n/ac,SJS-0CC-112-354-WLC,Campus Housing > WSH > Floor 3,SJSU_premier,SJSU_premier,120,802.11ac,5 min 24 sec,WPA2,8.3
e6eb3d142f3c1aebab65dd24d09bd6,10.250.218.60,d4eda786a792ae37c5062feb832745,Fri Feb 23 19:08:44 PST 2018,Intel Corporate,WSH-328-1815,802.11a/n/ac,SJS-0CC-112-354-WLC,Campus Housing > WSH > Floor 3,SJSU_premier,SJSU_premier,120,802.11ac,15 min 42 sec,WPA2,186.3
e6eb3d142f3c1aebab65dd24d09bd6,10.250.218.60,d4eda786a792ae37c5062feb832745,Fri Feb 23 19:24:27 PST 2018,Intel Corporate,WSH-326-1815,802.11b/g/n,SJS-0CC-112-354-WLC,Campus Housing > WSH > Floor 3,SJSU_premier,SJSU_premier,120,802.11n(2.4GHz),5 min 7 sec,WPA2,"1,685.4"
e6eb3d142f3c1aebab65dd24d09bd6,10.250.218.60,d4eda786a792ae37c5062feb832745,Fri Feb 23 21:54:57 PST 2018,Intel Corporate,WSH-328-1815,802.11a/n/ac,SJS-0CC-112-354-WLC,Campus Housing > WSH > Floor 3,SJSU_premier,SJSU_premier,120,802.11ac,5 min 13 sec,WPA2,45.6
e6eb3d142f3c1aebab65dd24d09bd6,10.250.218.60,d4eda786a792ae37c5062feb832745,Fri Feb 23 19:29:35 PST 2018,Intel Corporate,WSH-328-1815,802.11a/n/ac,SJS-0CC-112-354-WLC,Campus Housing > WSH > Floor 3,SJSU_premier,SJSU_premier,120,802.11ac,2 hrs 20 min 17 sec,WPA2,"1,175.0"
e6eb3d142f3c1aebab65dd24d09bd6,10.250.218.60,d4eda786a792ae37c5062feb832745,Fri Feb 23 21:49:52 PST 2018,Intel Corporate,WSH-326-1815,802.11a/n/ac,SJS-0CC-112-354-WLC,Campus Housing > WSH > Floor 3,SJSU_premier,SJSU_premier,120,802.11ac,5 min 5 sec,WPA2,419.1
e6eb3d142f3c1aebab65dd24d09bd6,10.250.218.60,d4eda786a792ae37c5062feb832745,Fri Feb 23 22:00:13 PST 2018,Intel Corporate,WSH-328-1815,802.11b/g/n,SJS-0CC-112-354-WLC,Campus Housing > WSH > Floor 3,SJSU_premier,SJSU_premier,120,802.11n(2.4GHz),31 min 42 sec,WPA2,270.2
e6eb3d142f3c1aebab65dd24d09bd6,10.250.218.60,d4eda786a792ae37c5062feb832745,Fri Feb 23 22:31:55 PST 2018,Intel Corporate,WSH-328-1815,802.11a/n/ac,SJS-0CC-112-354-WLC,Campus Housing > WSH > Floor 3,SJSU_premier,SJSU_premier,120,802.11ac,47 min 13 sec,WPA2,129.0
e6eb3d142f3c1aebab65dd24d09bd6,10.250.218.60,d4eda786a792ae37c5062feb832745,Fri Feb 23 23:19:08 PST 2018,Intel Corporate,WSH-326-1815,802.11a/n/ac,SJS-0CC-112-354-WLC,Campus Housing > WSH > Floor 3,SJSU_premier,SJSU_premier,120,802.11ac,5 min 11 sec,WPA2,747.2
e6eb3d142f3c1aebab65dd24d09bd6,10.250.218.60,d4eda786a792ae37c5062feb832745,Fri Feb 23 23:24:20 PST 2018,Intel Corporate,WSH-328-1815,802.11a/n/ac,SJS-0CC-112-354-WLC,Campus Housing > WSH > Floor 3,SJSU_premier,SJSU_premier,120,802.11ac,10 min 24 sec,WPA2,311.2
